id,sku,title,link,image_link,price,description,accessories_category,accessories_manufacturer,arearugs_colors,arearugs_manufacturer,arearugs_shape,arearugs_theme,bamboo_colors,bamboo_construction,bamboo_installation,bamboo_manufacturer,bamboo_thickness,bamboo_width,carpettile_manufacturer,category_gear,climate,clocks_finish,clocks_material,clocks_style,clocks_type,collar,cork_colors,cork_installation,cork_manufacturer,cork_thickness,cork_width,eco_collection,erin_recommends,format,glasstile_colors,glasstile_composition,glasstile_manufacturer,glasstile_tilesize,glasstile_visual,hardwood_colors,hardwood_construction,hardwood_finish,hardwood_manufacturer,hardwood_species,hardwood_thickness,hardwood_width,laminate_colors,laminate_manufacturer,laminate_thickness,laminate_visual,luxuryvinyl_colors,luxuryvinyl_installation,luxuryvinyl_manufacturer,luxuryvinyl_tilesize,luxuryvinyl_visual,new,pattern,pcategory,performance_fabric,product_type1,sale,sleeve,styles_name,vacuum_manufacture,vacuum_type,visual,pshowprice,pPopularityIndex,psell,samplesku
129,11316,Shaw Venetian Way: Piazza Kupay 3/8" x 5" Engineered Hardwood SW517 298,https://qa.efloors.com/shaw-venetian-way-piazza-kupay-3-8-x-5-engineered-hardwood-sw517-298/shaw/catalog_11316.htm,https://www.gowebpix.com/efloors/11316.jpg?width=250&height=250,4.7901,Shaw Venetian Way: Piazza Kupay 3/8" x 5" Engineered Hardwood SW517 298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Kupay,3/8",5",,,,,,,,,,,,,,Hardwood,,,Venetian Way,,,Tile,1,5,1,sam11316
130,1132,Mohawk Rockford: Oak Cherry 3/4" x 3 1/4" Solid Oak Hardwood WSC57-42,https://qa.efloors.com/mohawk-rockford-oak-cherry-3-4-x-3-1-4-solid-oak-hardwood-wsc57-42/hardwood/mohawk-rockford/catalog_1132.htm,https://www.gowebpix.com/efloors/1132.jpg?width=250&height=250,5.9898,Mohawk Rockford: Oak Cherry 3/4" x 3 1/4" Solid Oak Hardwood WSC57-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cinnamon,Solid,Traditional,Mohawk,Oak,3/4",3 1/4",,,,,,,,,,,,,,Hardwood,,,Rockford,,,Tile,1,5.666,1,sam1132
131,1133,Mohawk Rockford: Oak Gunstock 3/4" x 3 1/4" Solid Oak Hardwood WSC57-50,https://qa.efloors.com/mohawk-rockford-oak-gunstock-3-4-x-3-1-4-solid-oak-hardwood-wsc57-50/hardwood/mohawk-rockford/catalog_1133.htm,https://www.gowebpix.com/efloors/1133.jpg?width=250&height=250,5.9898,Mohawk Rockford: Oak Gunstock 3/4" x 3 1/4" Solid Oak Hardwood WSC57-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pumpkin,Solid,Traditional,Mohawk,Oak,3/4",3 1/4",,,,,,,,,,,,,,Hardwood,,,Rockford,,,Tile,1,8.957,1,sam1133
132,11341,Shaw Biscayne Bay: Bayfront Birch 3/8" x 5" Engineered Hardwood SW520 493,https://qa.efloors.com/shaw-biscayne-bay-bayfront-birch-3-8-x-5-engineered-hardwood-sw520-493/shaw/catalog_11341.htm,https://www.gowebpix.com/efloors/11341.jpg?width=250&height=250,3.6901,Shaw Biscayne Bay: Bayfront Birch 3/8" x 5" Engineered Hardwood SW520 493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Birch,3/8",5",,,,,,,,,,,,,,Hardwood,,,Biscayne Bay,,,Tile,1,5,1,sam11341
133,11342,Shaw Biscayne Bay: Oceanside Birch 3/8" x 5" Engineered Hardwood SW520 529,https://qa.efloors.com/shaw-biscayne-bay-oceanside-birch-3-8-x-5-engineered-hardwood-sw520-529/shaw/catalog_11342.htm,https://www.gowebpix.com/efloors/11342.jpg?width=250&height=250,3.6901,Shaw Biscayne Bay: Oceanside Birch 3/8" x 5" Engineered Hardwood SW520 529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Birch,3/8",5",,,,,,,,,,,,,,Hardwood,,,Biscayne Bay,,,Tile,1,5,1,sam11342
134,11343,Shaw Biscayne Bay: Burnside Birch 3/8" x 5" Engineered Hardwood SW520 627,https://qa.efloors.com/shaw-biscayne-bay-burnside-birch-3-8-x-5-engineered-hardwood-sw520-627/shaw/catalog_11343.htm,https://www.gowebpix.com/efloors/11343.jpg?width=250&height=250,3.6901,Shaw Biscayne Bay: Burnside Birch 3/8" x 5" Engineered Hardwood SW520 627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Birch,3/8",5",,,,,,,,,,,,,,Hardwood,,,Biscayne Bay,,,Tile,1,2,1,sam11343
135,11344,Shaw Venetian Way: St Lucia Kupay 3/8" x 5" Engineered Hardwood SW517 453,https://qa.efloors.com/shaw-venetian-way-st-lucia-kupay-3-8-x-5-engineered-hardwood-sw517-453/shaw/catalog_11344.htm,https://www.gowebpix.com/efloors/11344.jpg?width=250&height=250,4.7901,Shaw Venetian Way: Lavaredo Kupay 3/8" x 5" Engineered Hardwood SW517 453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Kupay,3/8",5",,,,,,,,,,,,,,Hardwood,,,Venetian Way,,,Tile,1,2,1,sam11344
136,11345,Shaw Biscayne Bay: Conway Birch 3/8" x 5" Engineered Hardwood SW520 698,https://qa.efloors.com/shaw-biscayne-bay-conway-birch-3-8-x-5-engineered-hardwood-sw520-698/shaw/catalog_11345.htm,https://www.gowebpix.com/efloors/11345.jpg?width=250&height=250,3.6901,Shaw Biscayne Bay: Conway Birch 3/8" x 5" Engineered Hardwood SW520 698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineered,Hand-Scraped,Shaw,Birch,3/8",5",,,,,,,,,,,,,,Hardwood,,,Biscayne Bay,,,Tile,1,2,1,sam11345
182,10029,MetroFlor Konecto Engage: Rockdale Oak Floating Click Lock Floor System 5113,https://qa.efloors.com/metroflor-konecto-engage-rockdale-oak-floating-click-lock-floor-system-5113/konecto/catalog_10029.htm,https://www.gowebpix.com/efloors/10029.jpg?width=250&height=250,2.3899,MetroFlor Konecto Engage: Rockdale Oak Floating Click Lock Floor System 5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sage,Glueless Click,MetroFlor Konecto,7x48,Wood,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,8,1,sam10029
183,10031,MetroFlor Konecto Engage: Havana Oak Floating Click Lock Floor System 5114,https://qa.efloors.com/metroflor-konecto-engage-havana-oak-floating-click-lock-floor-system-5114/metroflor/catalog_10031.htm,https://www.gowebpix.com/efloors/10031.jpg?width=250&height=250,2.3899,MetroFlor Konecto Engage: Havana Oak Floating Click Lock Floor System 5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronze,Glueless Click,MetroFlor Konecto,7x48,Wood,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,8,1,sam10031
184,10032,MetroFlor Konecto Engage: Cavalier Oak Floating Click Lock Floor System 5115,https://qa.efloors.com/metroflor-konecto-engage-cavalier-oak-floating-click-lock-floor-system-5115/konecto/catalog_10032.htm,https://www.gowebpix.com/efloors/10032.jpg?width=250&height=250,2.3899,MetroFlor Konecto Engage: Cavalier Oak Floating Click Lock Floor System 5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olive,Glueless Click,MetroFlor Konecto,7x48,Wood,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,8,1,sam10032
185,10033,MetroFlor Konecto Engage: Fossil Floating Click Lock Vinyl Floor System 5161,https://qa.efloors.com/metroflor-konecto-engage-fossil-floating-click-lock-vinyl-floor-system-5161/metroflor/catalog_10033.htm,https://www.gowebpix.com/efloors/10033.jpg?width=250&height=250,2.75,MetroFlor Konecto Engage: Fossil Floating Click Lock Vinyl Floor System 5161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaside,Glueless Click,MetroFlor Konecto,12x24,Tile,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,16,1,sam10033
186,10034,MetroFlor Konecto Engage: Glazed Taupe Floating Click Lock Vinyl Floor System 5162,https://qa.efloors.com/metroflor-konecto-engage-glazed-taupe-floating-click-lock-vinyl-floor-system-5162/metroflor/catalog_10034.htm,https://www.gowebpix.com/efloors/10034.jpg?width=250&height=250,2.75,MetroFlor Konecto Engage: Glazed Taupe Floating Click Lock Vinyl Floor System 5162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oats,Glueless Click,MetroFlor Konecto,12x24,Tile,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,22,1,sam10034
187,10037,MetroFlor Konecto Engage: Topaz Floating Click Lock Vinyl Floor System 5163,https://qa.efloors.com/metroflor-konecto-engage-topaz-floating-click-lock-vinyl-floor-system-5163/konecto/catalog_10037.htm,https://www.gowebpix.com/efloors/10037.jpg?width=250&height=250,2.75,MetroFlor Konecto Engage: Topaz Floating Click Lock Vinyl Floor System 5163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peppercorn,Glueless Click,MetroFlor Konecto,12x24,Tile,,,,,Luxury Vinyl Tile,,,Engage,,,Tile,3,17,1,sam10037
72,10418,Tarkett Heritage: Oak Light 8mm Laminate 139385,http://localhost:8080/dump/tarkett-heritage-oak-light-8mm-laminate-139385.html,https://www.gowebpix.com/efloors/10418.jpg?width=250&height=250,1.99,Tarkett Heritage: Oak Light 8mm Laminate 139385 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sam10418
73,10418-1,Tarkett Heritage: Oak Light 8mm Laminate 139385,http://localhost:8080/dump/tarkett-heritage-oak-light-8mm-laminate-139386.html,https://www.gowebpix.com/efloors/10418-1.jpg?width=250&height=250,1.99,Tarkett Heritage: Oak Light 8mm Laminate 139385 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
